unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
18809,cydno,cydno zelinde Heliconius,,,,hembra,Bravo Rio COL VC,,,m,Oct-20,May,1986,,FLMNH,,Samuel Landrian,,3.893055556,-76.62166667,NIMA
18810,cydno,cydno zelinde Heliconius,,,,macho,Calima Rio COL VC,,,m,,,1983,,FLMNH,,Samuel Landrian,,3.933333333,-76.51666667,Brown
18811,cydno,cydno zelinde Heliconius,,,,macho,Dagua Rio COL VC,,,m,,,,,FLMNH,,Samuel Landrian,,3.55,-76.65,Brown
18812,cydno,cydno zelinde Heliconius,,,,macho,Rio Calima Near Rio Bravo COL VC,,,m,,May-Aug,1988,,FLMNH,,Samuel Landrian,,3.907455556,-76.62491111,Geonames + Google Earth
18820,cydno,cydno zelinde Heliconius,,,zelinde x cydnides,hembra,Calima Rio COL VC,,,m,,,1983,,FLMNH,,Samuel Landrian,,3.933333333,-76.51666667,Brown
18821,cydno,cydno zelinde Heliconius,,,zelinde x cydnides,hembra,Bravo Rio COL VC,900,1100,m,Oct-20,May,1986,,FLMNH,,Samuel Landrian,,3.893055556,-76.62166667,NIMA
18822,cydno,cydno zelinde Heliconius,,,zelinde x cydnides,hembra,Rio Calima Near Rio Bravo COL VC,,,m,,May-Aug,1988,,FLMNH,,Samuel Landrian,,3.907455556,-76.62491111,Geonames + Google Earth
18823,cydno,cydno zelinde Heliconius,,,zelinde x cydnides,hembra,Calima Rio COL VC,,,m,,,1983,,FLMNH,,Samuel Landrian,,3.933333333,-76.51666667,Brown
18824,cydno,cydno zelinde Heliconius,,,zelinde x cydnides,macho,Dagua Rio COL VC,,,m,,,,,FLMNH,,Samuel Landrian,,3.55,-76.65,Brown
18825,cydno,cydno zelinde Heliconius,,,zelinde x cydnides,macho,Bravo Rio COL VC,,,m,Oct-20,May,1986,,FLMNH,,Samuel Landrian,,3.893055556,-76.62166667,NIMA
18826,cydno,cydno zelinde Heliconius,,,zelinde x cydnides,macho,Dagua Rio COL VC,,,m,,,,,FLMNH,,Samuel Landrian,,3.55,-76.65,Brown
18827,cydno,cydno zelinde Heliconius,,,zelinde x cydnides,hembra,Calima Rio COL VC,,,m,,,,,FLMNH,,Samuel Landrian,,3.933333333,-76.51666667,Brown
18828,cydno,cydno zelinde Heliconius,,,zelinde x cydnides,hembra,Calima Rio COL VC,,,m,,,,,FLMNH,,Samuel Landrian,,3.933333333,-76.51666667,Brown
